iter	Passed	Remaining
592	14024	9625
593	14049	9602
594	14077	9582
595	14101	9558
596	14127	9536
597	14151	9513
598	14177	9490
599	14200	9467
600	14226	9444
601	14258	9426
602	14284	9404
603	14310	9382
604	14333	9358
605	14361	9337
606	14391	9317
607	14416	9294
608	14443	9273
609	14469	9250
610	14494	9227
611	14518	9204
612	14543	9181
613	14567	9158
614	14592	9135
615	14616	9111
616	14640	9087
617	14663	9063
618	14689	9041
619	14711	9016
620	14733	8991
621	14756	8967
622	14778	8942
623	14806	8922
624	14829	8897
625	14856	8876
626	14880	8852
627	14906	8829
628	14928	8805
629	14949	8780
630	14973	8756
631	14996	8732
632	15020	8708
633	15042	8683
634	15067	8660
635	15089	8636
636	15112	8611
637	15138	8589
638	15162	8565
639	15186	8542
640	15210	8518
641	15237	8496
642	15259	8472
643	15280	8447
644	15305	8423
645	15330	8401
646	15353	8376
647	15375	8352
648	15398	8328
649	15422	8304
650	15447	8281
651	15470	8257
652	15492	8232
653	15521	8211
654	15541	8186
655	15564	8161
656	15588	8138
657	15611	8114
658	15635	8090
659	15656	8065
660	15681	8042
661	15704	8018
662	15728	7994
663	15755	7972
664	15778	7948
665	15799	7923
666	15824	7900
667	15847	7876
668	15873	7853
669	15896	7829
670	15920	7806
671	15945	7783
672	15968	7758
673	15989	7733
674	16015	7710
675	16040	7688
676	16064	7664
677	16088	7640
678	16111	7616
679	16141	7595
680	16168	7573
681	16194	7551
682	16219	7528
683	16242	7503
684	16271	7482
685	16292	7457
686	16317	7434
687	16338	7409
688	16362	7385
689	16385	7361
690	16407	7337
691	16438	7316
692	16460	7292
693	16484	7268
694	16505	7243
695	16528	7219
696	16553	7196
697	16575	7171
698	16599	7148
699	16627	7126
700	16651	7102
701	16676	7079
702	16700	7055
703	16724	7031
704	16749	7008
705	16772	6984
706	16856	6985
707	16879	6961
708	16904	6938
709	16928	6914
710	16956	6892
711	16979	6868
712	17004	6844
713	17026	6819
714	17050	6796
715	17072	6771
716	17095	6747
717	17118	6723
718	17140	6698
719	17167	6676
720	17194	6653
721	17222	6631
722	17253	6610
723	17281	6588
724	17307	6565
725	17355	6550
726	17428	6544
727	17470	6527
728	17502	6506
729	17527	6482
730	17555	6460
731	17576	6435
732	17605	6412
733	17635	6390
734	17665	6369
735	17692	6346
736	17719	6323
737	17748	6300
738	17774	6277
739	17798	6253
740	17821	6228
741	17847	6205
742	17875	6182
743	17900	6159
744	17926	6135
745	17952	6112
746	17977	6088
